ID,Pop,x,y,Input_FID
0,184,19682242.13,3827295.546,512
1,335,19705995.73,3843237.954,12
2,223,19691179.51,3843197.486,876
3,2361,19674926.72,3842762.803,1084
4,834,19679381.17,3855644.547,241
5,242,19687005.13,3855806.129,304
6,356,19693030.22,3855833.083,320
7,283,19706752.64,3849498.483,789
8,212,19699936.56,3849841.932,769
9,125,19693016.44,3849592.577,827
10,380,19686379.35,3849817.166,367
11,5475,19679514.08,3849680.545,1002
12,585,19673673.3,3850148.608,245
13,600,19665742.33,3849971.779,977
14,1556,19679173.94,3843786.872,1017
15,136,19686195.38,3842962.893,930
16,97,19693519.6,3843200.231,755
17,381,19700162.88,3843107.781,153
18,119,19699214.8,3836366.028,735
19,194,19693274.77,3835882.078,558
20,361,19686607.11,3835885.169,525
21,2993,19679719.08,3836364.592,1128
22,180,19673061.91,3829448.003,452
23,556,19678641.77,3829590.071,456
24,143,19686390.46,3829390.256,639
25,171,19683772.83,3827409.833,510
26,115,19679609.37,3826652.051,420
27,153,19677718.97,3826812.883,421
28,1330,19674888.72,3826822.362,1122
29,513,19672622.58,3826383.77,434
30,2027,19670576.95,3827968.284,1117
31,750,19669052.29,3829541.499,1114
32,2676,19670450.7,3828958.827,1115
33,422,19675372.92,3829093.393,427
34,741,19677141.71,3829383.626,459
35,171,19682582.02,3829170.208,499
36,216,19684295,3828651.953,1165
37,143,19688111.9,3829594.85,635
38,122,19690985.81,3830187.569,627
39,50,19695158.55,3832369.797,584
40,155,19692918.07,3831726.551,599
41,205,19691464.16,3830918.102,1209
42,208,19688718.8,3832002.171,615
43,658,19685859.93,3832266.672,1205
44,527,19684944.19,3831304.914,493
45,409,19682422.94,3831850.3,491
46,2872,19679961.21,3831048.678,1138
47,742,19676714.43,3831698.034,1136
48,91,19675087.49,3831002.001,449
49,768,19673140.71,3831697.387,1110
50,1184,19670508.97,3831687.675,1109
51,672,19668223.92,3831070.349,1107
52,2662,19667148.89,3831231.249,1106
53,870,19666740.07,3833969.429,1097
54,648,19667906.37,3834018.364,1098
55,3014,19670091.39,3833930.964,1102
56,3083,19672519.19,3833930.964,1103
57,2470,19675706.19,3834195.624,1132
58,2008,19678134.21,3833723.144,1133
59,2545,19679333.87,3833425.981,1134
60,409,19681633.44,3833946.923,480
61,683,19683929.86,3834035.845,1156
62,1447,19686748.21,3833639.467,1196
63,352,19688361.53,3833940.099,605
64,353,19690823.67,3834233.141,590
65,52,19693681.02,3833579.01,564
66,50,19695906.06,3833724.111,574
67,62,19697926.47,3834117.331,747
68,95,19697599.15,3835817.358,738
69,68,19695317.34,3836329.077,641
70,194,19691591.9,3836108.664,551
71,291,19688704.24,3835720.683,541
72,3587,19684268.9,3835388.721,1265
73,760,19682531.66,3836295.03,475
74,7188,19677881.07,3836298.555,1129
75,2704,19676284.41,3837189.511,391
76,2680,19671217.89,3835562.446,1100
77,918,19667882.58,3836746.326,409
78,2164,19666747.76,3837916.312,1062
79,918,19668125.13,3838300.185,403
80,1048,19670716.97,3838652.268,398
81,1518,19672092.88,3838792.474,1068
82,3379,19675826.11,3838315.855,1094
83,2380,19676714.43,3839248.172,1124
84,1248,19679752.09,3838290.647,1126
85,760,19682836.01,3837918.699,472
86,718,19684171.42,3838625.556,918
87,239,19686426.63,3837676.943,529
88,334,19688871.96,3838421.097,531
89,194,19691391.48,3837774.604,534
90,68,19693214.77,3838526.161,649
91,68,19695654.16,3838566.082,654
92,53,19697492.31,3838586.761,200
93,86,19699983.24,3838570.248,207
94,32,19702627.23,3838632.87,211
95,110,19703701.22,3839272.774,1249
96,251,19705828.88,3840928.714,37
97,151,19704697.94,3840984.709,36
98,44,19702313.3,3840393.814,174
99,116,19700268.18,3840586.811,170
100,115,19698101.23,3840617.129,167
101,68,19695906.8,3840786.101,686
102,124,19693319.04,3840735.933,680
103,78,19691261.11,3840697.328,910
104,95,19688856.63,3840161.275,901
105,101,19686924.22,3840360.789,921
106,902,19683903.53,3840529.86,926
107,1504,19682360.52,3841222.136,1150
108,5738,19679843.35,3841413.729,1091
109,4606,19677051.72,3841496.795,1268
110,778,19674306.27,3841328.909,392
111,1818,19673567.66,3840094.634,1071
112,3630,19669770.69,3840244.944,1074
113,1292,19668591.07,3840574.305,1081
114,1363,19667121.86,3840340.386,411
115,1080,19682515.9,3843001.229,1149
116,134,19684647.88,3843044.863,936
117,662,19689388.13,3843453.884,872
118,387,19695676.57,3843073.472,706
119,322,19697902.02,3843180.812,1227
120,183,19702087.93,3842777.937,146
121,335,19704833.43,3842823.616,19
122,809,19706458.55,3846087.278,801
123,809,19704867.94,3845483.005,973
124,476,19702120.58,3845020.472,126
125,476,19700156.48,3845047.658,129
126,387,19697669.27,3845390.1,109
127,387,19695945.17,3844739.666,725
128,185,19693543.28,3845083.327,766
129,1872,19691175.49,3845028.463,1259
130,779,19688872,3845106.347,1180
131,182,19686356.02,3845051.305,943
132,1439,19683867.7,3845394.07,1145
133,2805,19682436.55,3845147.595,1266
134,4377,19679416.52,3845879.094,1013
135,397,19678021.7,3844835.149,1015
136,856,19676217.92,3845338.572,260
137,319,19675032.15,3847507.718,253
138,640,19676969.63,3846947.509,256
139,1812,19679139.29,3847715.744,1016
140,5958,19681304.86,3847634.811,1274
141,3247,19684558.27,3847512.153,1009
142,555,19685973.01,3847234.29,1140
143,364,19688987.99,3847443.268,853
144,304,19690939.87,3847852.923,849
145,263,19693122.3,3847802.8,86
146,138,19696298.48,3847489.427,98
147,184,19697512.13,3847556.106,102
148,240,19700456.18,3847416.623,122
149,280,19701981.65,3847454.373,808
150,580,19704442.83,3847646.422,1235
151,426,19706098.01,3847222.318,798
152,471,19704525.9,3849823.634,780
153,826,19702870.1,3849271.009,777
154,142,19697747.33,3849517.611,51
155,220,19695784.65,3849952.899,66
156,317,19691189.06,3849339.517,842
157,536,19688667.63,3849096.601,1048
158,380,19685383.89,3849389.096,271
159,1103,19682014.03,3849834.467,1005
160,1931,19677497.17,3849314.166,993
161,732,19674154.3,3849862.177,984
162,1252,19671297.35,3850011.553,981
163,713,19667377.48,3850691.069,231
164,261,19666263.66,3851624.551,230
165,761,19669181.91,3852041.431,232
166,951,19670561.09,3851823.971,980
167,1688,19674969.46,3852102.172,985
168,1265,19677728.7,3852333.558,246
169,746,19679878.41,3851755.957,1019
170,375,19681844.06,3851936.072,281
171,1416,19684459.14,3851356.777,263
172,997,19686577.53,3851805.032,1052
173,377,19688921.68,3851768.862,378
174,254,19691299.17,3851688.443,377
175,120,19693117.05,3852358.826,335
176,139,19695720.85,3852260.681,350
177,97,19697270.37,3851207.761,63
178,353,19706332.25,3851203.211,783
179,172,19696799.72,3853419.338,1039
180,436,19695407.8,3854007.873,341
181,447,19693758.35,3854215.517,338
182,216,19690573.74,3853873.265,321
183,505,19688835.79,3854400.533,961
184,227,19686521.14,3854149.325,296
185,597,19684539.98,3854384.51,1026
186,807,19681992.26,3854992.919,284
187,570,19680097.41,3854951.004,276
188,551,19676956,3854396.968,988
189,392,19674565.31,3854616.173,986
190,777,19673231.65,3854143.17,237
191,874,19671342.01,3854161.74,235
192,359,19684568.11,3855715.65,292
193,607,19688062.14,3856557.391,308
194,600,19691048.74,3855573.923,319
195,584,19695680.53,3856263.515,1037
196,512,19696924.05,3856391.103,327
197,1621,19669933.27,3827689.269,436
198,641,19673364.06,3826356.224,1123
199,513,19672221.59,3826458.92,435
200,187,19673524.32,3827834.44,423
201,1260,19675481.11,3827307.922,1121
202,513,19674256.19,3826925.111,422
203,154,19678489.68,3826292.418,974
204,556,19678191.5,3828127.73,455
205,115,19678454.27,3826223.684,454
206,70,19680616.2,3826189.096,519
207,184,19680808.3,3828062.121,503
208,115,19679339.85,3826624.867,419
209,115,19678819.96,3826580.39,418
210,115,19679028.39,3827066.153,417
211,306,19682811.12,3827595.374,1164
212,115,19681055.34,3825940.584,1163
213,70,19681483,3825906.148,520
214,70,19681351.63,3826145.614,518
215,70,19682143.76,3825986.065,517
216,70,19682076.71,3826221.403,516
217,70,19682476.43,3826354.721,515
218,184,19682398.98,3827023.558,514
219,184,19682589.72,3827113.865,513
220,184,19683028.82,3827598.417,511
221,184,19682227.51,3827894.459,506
222,184,19681499.98,3827647.095,505
223,184,19681726.85,3827997.006,504
224,171,19684354.33,3827681.393,509
225,171,19684262.5,3828094.996,508
226,122,19691466.85,3830203.651,625
227,143,19687862.48,3829320.514,634
228,143,19687846.55,3828950.89,632
229,156,19688791.73,3830361.708,630
230,238,19686683.6,3829513.006,1207
231,143,19686565.69,3829659.467,638
232,143,19686700.9,3829883.063,637
233,143,19687167.5,3829958.141,636
234,143,19686872.95,3829020.774,633
235,143,19684955.63,3829599.691,640
236,171,19684923.58,3828409.712,507
237,171,19683245.81,3829430.31,497
238,171,19683717.01,3829680.588,496
239,184,19681441.93,3828285.859,502
240,184,19681902.99,3828686.225,501
241,184,19681184.93,3828713.766,500
242,171,19682640.69,3829354.237,498
243,307,19682300.07,3830316.298,495
244,1724,19680862.64,3830351.946,458
245,1724,19681678.49,3830134.043,457
246,926,19677550.89,3829804.996,1139
247,741,19676793.15,3829822.35,460
248,526,19675840.42,3828541.245,1120
249,281,19674830.46,3829337.564,1119
250,187,19674372.01,3829847.017,430
251,187,19674528.87,3829575.029,429
252,422,19676256.93,3829334.424,428
253,225,19674809.69,3829225.9,426
254,225,19674358.49,3828834.786,425
255,225,19674423.78,3828573.615,424
256,235,19673470.89,3829133.628,1118
257,180,19673345.91,3830230.376,450
258,121,19673685.61,3830339.54,432
259,121,19673962.43,3830067.268,431
260,1786,19671111.06,3828531.534,1116
261,600,19669663.35,3829418.971,437
262,600,19669182.93,3830225.682,439
263,600,19669325.13,3829738.425,438
264,1508,19669246.51,3831609.986,1108
265,947,19671202.17,3831822.094,443
266,2411,19670168.41,3832058.706,442
267,948,19670630.8,3831156.999,441
268,948,19671064.89,3831161.269,440
269,226,19673402.91,3830551.464,1112
270,180,19673088.32,3830649.672,451
271,121,19673757.29,3830850.139,446
272,180,19672941.92,3830939.521,444
273,122,19674917.86,3830871.934,1111
274,121,19674170.38,3830681.552,448
275,121,19674350.2,3830882.518,447
276,91,19674242.06,3831192.151,445
277,91,19674811.9,3830614.444,433
278,447,19678488.73,3831744.905,464
279,447,19678587.63,3831525.951,463
280,447,19676667.96,3830502.7,461
281,301,19678860.61,3831929.161,1137
282,241,19679546.79,3832274.546,466
283,447,19678766.51,3832075.28,465
284,180,19678873.58,3831097.315,462
285,3038,19681342.79,3832248.983,1162
286,307,19682419.76,3830718.799,494
287,409,19683053.85,3832305.249,490
288,409,19682535.12,3832277.993,489
289,409,19682961.32,3832573.109,488
290,2787,19684217.31,3832373.286,1161
291,510,19683246.19,3832652.969,1160
292,409,19683148.47,3830983.385,492
293,308,19687410.38,3832210.145,1206
294,395,19687238.8,3830734.393,631
295,248,19687514.8,3831670.479,613
296,527,19685437.49,3832204.065,612
297,248,19687656.87,3832537.322,611
298,263,19689291.92,3832274.747,1188
299,156,19688740.34,3831098.552,629
300,156,19689640.82,3831174.538,628
301,208,19689199.36,3832146.775,617
302,208,19688990.07,3832055.188,616
303,248,19687836.75,3832061.238,614
304,208,19688828.26,3832661.075,609
305,488,19689601.43,3832613.75,608
306,323,19690285.17,3830578.941,1208
307,405,19691423.79,3832686.586,1190
308,611,19690059.07,3832202.07,1189
309,163,19691132.05,3830437.638,626
310,122,19691807.35,3830595.691,624
311,169,19692108.12,3832060.857,620
312,323,19691764.21,3832538.173,619
313,323,19691043.12,3832385.528,618
314,258,19693684.86,3831090.304,1211
315,212,19692497.8,3830441.662,1210
316,258,19692497.8,3831943.661,1187
317,127,19692934.5,3830746.171,623
318,127,19692299.26,3831178.165,622
319,155,19692812.92,3831402.187,621
320,155,19693754.33,3831672.893,601
321,155,19693738.34,3831980.32,600
322,207,19692829.54,3831917.554,598
323,207,19692550.69,3832566.78,597
324,50,19695685.49,3832517.603,583
325,50,19694692.75,3832577.595,579
326,103,19697195.68,3834635.35,970
327,62,19697261.44,3833916.309,751
328,62,19697286.12,3834201.66,750
329,62,19696896.74,3834311.893,749
330,62,19697545.5,3834622.379,748
331,62,19698284.24,3834356.298,746
332,83,19698854.13,3834618.677,745
333,83,19698627.56,3834680.163,744
334,62,19697869.01,3834764.706,742
335,84,19695873.26,3833429.51,1212
336,50,19695790.46,3832760.838,582
337,50,19695667.36,3833064.851,581
338,50,19694987.95,3832846.522,580
339,50,19694778.18,3832883.456,578
340,107,19694963.48,3833436.184,576
341,50,19695738.93,3833438.318,575
342,62,19696380.55,3834124.442,573
343,62,19696699.93,3834484.924,572
344,62,19696304.52,3834711.883,571
345,107,19695794.92,3834667.74,570
346,107,19695375.06,3834330.211,568
347,107,19695257.71,3833962.153,567
348,107,19695011.92,3833876.615,566
349,50,19694477.36,3833616.868,565
350,107,19694831.45,3834344.089,563
351,107,19694723.79,3834525.2,562
352,88,19693337.62,3834632.725,1215
353,220,19694096.7,3834826.532,1214
354,151,19692223.24,3832961.145,1191
355,121,19692709.62,3832732.022,596
356,121,19692488.43,3833008.137,595
357,121,19692323.48,3833296.705,594
358,90,19692325.45,3833596.802,593
359,155,19694134.89,3832808.027,577
360,272,19691651.07,3834018.97,1192
361,323,19689956.38,3833435.952,603
362,323,19690736.66,3833307.096,602
363,163,19691815.61,3833850.527,592
364,218,19691575.67,3833851.096,591
365,353,19690217.97,3834094.024,589
366,353,19689985.76,3834343.666,588
367,353,19690868.49,3834430.342,587
368,353,19690636.28,3834679.985,586
369,352,19690019.65,3834748.296,585
370,353,19690397.51,3834697.776,539
371,352,19690096.87,3834891.27,522
372,278,19688767.02,3834874.983,1198
373,438,19689332.33,3834359.925,1197
374,439,19689663.38,3833558.715,1193
375,646,19688053.6,3832941.816,610
376,353,19689464.82,3833147.886,607
377,646,19687899.3,3833522.511,606
378,352,19688522.9,3834276.916,604
379,223,19688354.64,3834788.084,546
380,223,19687954.12,3834734.712,545
381,223,19688012.21,3834910.13,544
382,3900,19687086.83,3834008.226,1264
383,1765,19687021.11,3833221.782,1195
384,809,19687644.56,3833372.984,1194
385,1158,19686099.19,3834624.424,482
386,942,19683237.7,3833205.615,1159
387,592,19684644.6,3833523.093,1158
