Id,POP,POINT_X,POINT_Y
1,136,19670450.702865,3828958.826762
2,103,19687644.561507,3833372.983579
3,277,19670091.388237,3833930.963618
4,85,19687021.107480,3833221.781865
5,255,19673907.891730,3833571.649051
6,135,19683929.855063,3834035.844645
7,417,19676461.291152,3834988.837537
8,361,19677881.069318,3836298.555377
9,361,19679719.076682,3836364.591593
10,335,19667621.734908,3838155.964250
11,212,19670979.430924,3838895.456810
12,300,19675826.105291,3838315.854565
13,180,19673987.366988,3840614.277413
14,266,19677774.768207,3841743.502560
15,55,19693823.257135,3842858.033450
16,137,19701204.184999,3843317.713515
17,119,19679173.941529,3843786.872356
18,218,19696963.586720,3843984.650281
19,266,19700483.898485,3844850.566003
20,39,19690260.947994,3845550.486306
21,66,19674888.723401,3826822.361750
22,119,19673364.064269,3826356.223890
23,44,19678489.677596,3826292.418131
24,62,19675481.106876,3827307.921953
25,177,19670576.948502,3827968.283868
26,116,19682811.124308,3827595.373651
27,86,19671111.064781,3828531.533776
28,79,19684294.996364,3828651.952720
29,68,19675840.421525,3828541.244958
30,16,19690285.173791,3830578.941137
31,125,19669052.289350,3829541.499096
32,178,19677550.888319,3829804.996444
33,77,19686683.604687,3829513.005917
34,36,19691464.162786,3830918.102359
35,48,19673402.909080,3830551.464355
36,30,19692497.796957,3830441.661585
37,50,19674917.857030,3830871.934110
38,34,19668223.919951,3831070.349217
39,76,19669246.513427,3831609.985689
40,133,19667148.893184,3831231.248738
41,38,19673140.706583,3831697.386535
42,199,19670508.970062,3831687.675353
43,136,19676714.429902,3831698.033950
44,51,19693684.861225,3831090.303954
45,76,19689291.915942,3832274.747228
46,158,19683246.186253,3832652.969066
47,102,19685859.927439,3832266.671955
48,54,19690059.066323,3832202.069857
49,52,19687410.378705,3832210.145109
50,30,19684644.599768,3833523.093017
51,32,19676736.441988,3832853.667292
52,30,19692223.237916,3832961.144924
53,29,19695873.258594,3833429.510426
54,150,19681342.790108,3832248.982934
55,204,19672677.018377,3833384.511896
56,32,19691651.072857,3834018.969511
57,100,19678134.208089,3833723.143828
58,142,19689663.378255,3833558.714705
59,66,19666740.073046,3833969.428639
60,132,19679333.865561,3833425.980947
61,15,19693337.624730,3834632.725218
62,58,19667906.367169,3834018.364464
63,37,19697195.684496,3834635.349664
64,11,19694096.699880,3834826.531616
65,30,19698556.871727,3835452.061978
66,113,19683013.117344,3834331.065240
67,58,19678387.346757,3834614.632469
68,130,19686748.206806,3833639.467369
69,72,19669062.000532,3834756.416043
70,157,19672519.189458,3833930.963618
71,126,19675706.192974,3834195.624027
72,62,19695921.710250,3834996.112217
73,119,19667624.742226,3835183.709029
74,46,19687703.642200,3835352.159710
75,126,19689332.325797,3834359.925142
76,55,19683525.868952,3835177.882336
77,66,19688767.023594,3834874.983272
78,115,19685227.272041,3834292.220449
79,77,19683199.572504,3835768.323546
80,43,19697402.209497,3835827.561958
81,64,19688256.661785,3835193.919154
82,126,19669622.299400,3836427.292644
83,43,19698622.584226,3836897.736678
84,134,19671217.888012,3835562.446042
85,200,19672800.814402,3834659.303953
86,51,19687398.154401,3837086.548782
87,113,19692158.635756,3836667.692511
88,232,19682327.506268,3837223.062034
89,218,19673847.462991,3837756.238576
90,186,19667102.091472,3837556.375647
91,112,19679752.094821,3838290.647198
92,94,19688484.877271,3837914.176928
93,68,19685690.346838,3837564.047212
94,54,19698416.059286,3838352.798883
95,202,19666747.756364,3837916.311841
96,100,19694171.615393,3838983.379796
97,23,19702208.608428,3839310.323680
