ID,pop,PointX,PointY
1,8,64201.83203,43952.77734
2,5,64600.07031,43983.01953
3,14,63188.5625,44009.03125
4,27,63805.02344,44008.46484
5,20,63507.32422,44009.21094
6,6,64209.83594,44050.08203
7,4,64703.74609,44002.875
8,3,64601.35938,44161.59375
9,36,63796.73047,44200.12109
10,15,64503.23438,44212.62109
11,20,64173.59375,44215.04297
12,12,63179.69531,44319.60938
13,47,63450.16016,44255.45313
14,19,63795.67578,44359.43359
15,13,64170.72656,44384.46094
16,7,62346.36328,44383.55859
17,4,63945.30859,44481.53125
18,7,64156.23047,44494.75391
19,19,64712.89453,44414.14844
20,9,62344.63672,44567.04297
21,10,63907.17578,44648.5
22,26,64500.36328,44434.41016
23,13,64511.23828,44547.78516
24,5,64727.59766,44691.58984
25,46,64277.73438,44612.12109
26,5,62684.51172,44896.26172
27,23,62503.25,44895.43359
28,13,63295.58203,44924.91797
29,10,64153.82813,44970.5
30,11,64385.19141,44965.77344
31,15,63255.13281,46151.95703
32,5,61619.1875,47755.35938
33,2,63914.45313,47824.53906
34,8,61894.84766,47792.85156
35,5,64576.74219,47786.07031
36,4,65089.6875,47767.30469
37,6,62408.69922,47773.03125
38,5,62155.64453,47788.33594
39,5,64133.91406,44723.43359
40,52,63467.20313,44578.9375
41,6,62560.44531,44719.01563
42,16,62802.31641,44579.17578
43,41,63770.86328,44578.95313
44,32,63192.10156,44583.14844
45,6,63485.83594,45668.09375
46,11,63666.07422,45666.02344
47,7,63878.97656,45666.94922
48,7,61940.24609,45683.30469
49,6,64387.78906,46368.63281
50,8,65086.73047,46383.57422
51,16,64157.70703,46387.99219
52,4,63811.92578,44803.10547
53,9,63212.90234,44828.01172
54,18,64462.90625,44843.04297
55,17,64165.11328,44853.56641
56,12,63483.50781,44867.89063
57,27,63774.71094,44893.10938
58,13,64750.76172,44902.58594
59,7,64564.69922,44949.30469
60,10,63151.71875,44988.66797
61,12,62790.50391,44954.34375
62,70,65129.05859,44956.58984
63,40,62935.16406,44987.99609
64,24,62519.86328,45086.74609
65,11,64835.375,45083.60547
66,4,62290.60156,45085.67188
67,6,64718.27734,45085.18359
68,6,62162.55859,45131.02734
69,14,64553.86328,45084.71094
70,11,64376.47266,45106.13281
71,11,63299.88672,45081.14453
72,50,63714.18359,45072.125
73,6,63178.67969,45141.74219
74,19,64162.59375,45102.875
75,6,64802.94141,45230.77734
76,8,63775.39844,46757.50781
77,4,62826.85938,46719.19531
78,3,62598.86719,46751.44922
79,4,62069.24609,46748.74219
80,3,62159.44531,46704.03516
81,7,63182.18359,46729.53125
82,5,61694.38672,46752.00781
83,7,61814.41797,46702.12109
84,12,65142.64063,47369.98438
85,13,61904.375,47238.875
86,2,63109.37891,45235.88672
87,8,63254.125,45243.26172
88,9,63516.77734,45245.89453
89,14,64169.68359,45250.69531
90,16,63801.76172,45248.57813
91,4,64593.86328,45250.79297
92,12,64399.71484,45273.97266
93,5,64541.32813,45294.66016
94,2,63111.61719,45337.01172
95,5,63252.78516,45349.60156
96,16,64164.09375,45365.4375
97,9,64762.09375,45347.11719
98,15,62937.23828,45327.97656
99,9,64925.72656,45380.87109
100,14,64168.74609,45462.67188
101,4,64857.36328,45489.32031
102,3,64961.08203,45535.60156
103,13,64401.42188,45471.01563
104,10,64573.62109,45469.31641
105,4,63676.14844,45495.08984
106,7,64751.46875,45500.53516
107,8,63820.08984,45454.54297
108,14,63626.62109,45388.75391
109,8,62792.50781,45375.48438
110,3,62954.40625,45519.48047
111,11,64167.63281,45540.60547
112,6,63306.57813,45489.76953
113,10,63510.69531,45487.22656
114,8,63163.97266,45476.00391
115,65,62422.66016,45386.71484
116,16,63923.36328,45440.31641
117,18,62035.625,45375.05469
118,14,64440.6875,45684.20703
119,11,64766.21094,45696.25781
120,11,64950.14063,45694.53125
121,21,63254.42188,45703.09766
122,5,65046.69922,45777.85547
123,3,62802.39453,45718.8125
124,8,64224.6875,45720.71094
125,4,63914.78125,45782.41016
126,11,64081.08984,45743.42188
127,9,64390.67578,45802.21484
128,4,61950.98047,45806.95703
129,23,63693.19922,45786.81641
130,12,63497.78906,45786.16406
131,23,64787.43359,45824.60938
132,5,62930.18359,45761.34766
133,3,62841.77344,45863.71484
134,47,63523.58594,47582.62891
135,8,63294.11328,47699.28906
136,11,62853.125,47657.67969
137,4,63193.28125,47766.45703
138,9,63060.21875,47607.29297
139,4,62638.55469,47754.875
140,6,64793.5625,47762.46094
141,5,63476.65625,45891.63672
142,13,64577.74609,45835.31641
143,14,64806.23438,45932.35938
144,9,63917.05469,45926.04297
145,23,63728.82031,45940.69531
146,13,63282.13281,45907.96875
147,4,63505.56641,45990.47656
148,7,63137.64844,45902.35938
149,6,63008.08594,45788.59375
150,6,64484.63281,45989.59766
151,7,64382.84766,45933.62109
152,16,64166.12891,45937.89453
153,4,62121.88281,45899.86719
154,4,61964.44531,45962
155,4,61752.40625,45970.83984
156,4,61729.40234,45846.97656
157,10,64859.84375,46012.80859
158,72,62433.67578,45841.79688
159,5,64615.1875,46060.86719
160,10,64435.91016,46081.83594
161,3,63454.70313,46080.70313
162,4,63922.36719,46085.35547
163,4,63147.82422,46087.47266
164,4,63635.60938,46086.95313
165,15,64905.3125,46167.65625
166,14,64748.87891,46156.83984
167,50,65142.99609,46050.36328
168,6,64560.625,46207.25391
169,5,64387.05859,46208.48438
170,16,64128.85156,46139.625
171,5,64246.80078,46203.78125
172,8,63771.36719,46108.85547
173,4,63780,46231.21094
174,8,63909.71484,46211.98438
175,4,63015.41797,46183.71094
176,4,63651.74609,46217.55469
177,13,63510.9375,46183.65234
178,20,62876.63672,46104.37891
179,4,63237.30859,46269.91406
180,6,63183.13672,46387.95703
181,5,62997.66406,46381.76563
182,8,63317.17969,46406.875
183,14,63906.64063,46392.98828
184,11,63703.37891,46396.58984
185,9,64759.82813,46440.62891
186,4,63301.07813,46588.85547
187,8,65248.22656,46424.87891
188,6,63884.27734,46509.93359
189,11,64907.10938,46415.69141
190,5,63707.66016,46521.85156
191,20,63515.88281,46438.89453
192,12,64160.07422,46518.71094
193,5,63006.53906,46532.08984
194,6,62823.72266,46480.25781
195,7,63191.09375,46539.63281
196,4,65253.74219,46612.96094
197,11,63511.39453,46639.92969
198,6,63688.35938,46631.64844
199,14,63884,46637.25781
200,25,64575.73438,46522.07422
201,11,61956.98438,46685.80859
202,22,65113.06641,46650.82031
